adult,cast,genre,id,original_title,overview,title,vote_average
0,DavisGuggenheim MichaelJ.Fox TracyPollan SamFox,"[""Documentary""]",1058699,STILL: A Michael J. Fox Movie,a short kid from a canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. what happens when an incurable optimist confronts an incurable disease?,still,7.345
0,GerardJohnstone AllisonWilliams VioletMcGraw JennaDavis,"[""SciFi"",""Horror"",""Comedy""]",536554,M3GAN,"a brilliant toy company roboticist uses artificial intelligence to develop m3gan, a life-like doll programmed to emotionally bond with her newly orphaned niece. but when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",m3gan,7.351
0,ChristopherNolan MatthewMcConaughey AnneHathaway JessicaChastain,"[""Adventure"",""Drama"",""SciFi""]",157336,Interstellar,the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,interstellar,8.402
0,Calmatic JackHarlow SinquaWalls LauraHarrier,"[""Comedy"",""Drama""]",920125,"White Men Can't Jump","seemingly opposite street hoopers, jeremy, an injury prone former star, and kamal, a has-been prodigy, team up to take one final shot at living out their dreams.","white men can't jump",8
0,DanielScheinert DanielKwan MichelleYeoh KeHuyQuan StephanieHsu,"[""Action"",""Adventure"",""SciFi""]",545611,Everything Everywhere All at Once,"an aging chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",everything everywhere all at once,7.843
0,JamesCameron LeonardoDiCaprio KateWinslet BillyZane,"[""Drama"",""Romance""]",597,Titanic,"101-year-old rose dewitt bukater tells the story of her life aboard the titanic, 84 years later. a young rose boards the ship with her mother and fiancé. meanwhile, jack dawson and fabrizio de rossi win third-class tickets aboard the ship. rose tells the whole story from titanic's departure through to its death—on its first and last voyage—on april 15, 1912.",titanic,7.892
0,JeremyGarelick AdamSandler JenniferAniston MarkStrong,"[""Comedy"",""Crime""]",638974,Murder Mystery 2,"after starting their own detective agency, nick and audrey spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",murder mystery 2,6.585
0,MarcForster TomHanks MarianaTreviño RachelKeller,"[""Comedy"",""Drama""]",937278,A Man Called Otto,"when a lively young family moves in next door, grumpy widower otto anderson meets his match in a quick-witted, pregnant woman named marisol, leading to an unlikely friendship that turns his world upside down.",a man called otto,7.88
0,JesseV.Johnson ThomasJane DominiqueTipper JohnMalkovich,"[""Action"",""Thriller""]",1093994,One Ranger,a texas ranger is recruited by british intelligence to track down a dangerous terrorist and stop him from attacking london.,one ranger,6.725
0,ChristopherMcQuarrie TomCruise HayleyAtwell VingRhames,"[""Action"",""Adventure"",""Thriller""]",575264,Mission: Impossible - Dead Reckoning Part One,"ethan hunt and his imf team embark on their most dangerous mission yet: to track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. with control of the future and the fate of the world at stake, and dark forces from ethan's past closing in, a deadly race around the globe begins. confronted by a mysterious, all-powerful enemy, ethan is forced to consider that nothing can matter more than his mission – not even the lives of those he cares about most.",mission,5
